beer_name,brewery,style,abv,ibu,comment,brewery_city,brewery_state
Really Cool Waterslides IPA,3 Sheeps Brewing Company,IPA - American,6.2,60,,Sheboygan,WI
Hopster,New Glarus Brewing Company,Hefeweizen,5.95,0,Decent for a wheat beer,New Glarus,WI
Sculpin IPA,Ballast Point Brewing & Spirits,IPA - American,7,70,Excellent IPA,San Diego,CA
Hopslam Ale,Bell's Brewery,IPA - Imperial / Double,10,70,"Smooth, hoppy, and delicious",Galesburg,MI
Enigma (Thumbprint) (2015),New Glarus Brewing Company,Sour Ale,5.5,0,Meh.  Not a very good sour.,New Glarus,WI
Red Chair NWPA,Deschutes Brewery,Pale Ale - American,6.2,60,Pretty good pale ale but nothing special.,Bend,OR
Hog Heaven Barleywine,Avery Brewing Co.,Barleywine - American,9.2,104,Good barleywine.  Dry-hopped and pretty tasty.,Boulder,CO
IPL,Jacob Leinenkugel Brewing Company,Lager - IPL (India Pale Lager),6,57,,Chippewa Falls,WI
Black Jack Porter,Left Hand Brewing Company,Porter - English,6.8,35,Yum,Longmont,CO
Grateful Red,"Capital Brewery Co., Inc.",IPA - American,5.3,65,,Middleton,WI
16-Bit Double Pale Ale,Tallgrass Brewing Company,Pale Ale - American,6.2,55,,Manhattan,KS
Illusive Traveler Grapefruit Shandy,Traveler Beer Co.,Radler,4.4,7,Very grapefruity but pretty refreshing,Burlington,VT
Black Butte Porter,Deschutes Brewery,Porter - American,5.2,30,Yum!  One of my favorites,Bend,OR
Chainbreaker White IPA,Deschutes Brewery,IPA - White,5.6,55,A little too wheaty,Bend,OR
Obsidian Stout,Deschutes Brewery,Stout - American,6.4,55,Tasty stout,Bend,OR
Green 19 IPA,Titletown Brewing Company,IPA - American,6.5,55,Missing a little citrus,Green Bay,WI
Dark Helmet Schwartzbier,Titletown Brewing Company,Schwarzbier,5.5,25,Good dark beer,Green Bay,WI
Busted Nut,Titletown Brewing Company,Blonde Ale - Belgian Blonde / Golden,8.5,0,,Green Bay,WI
Mutiny IPA,"Capital Brewery Co., Inc.",IPA - American,6.2,70,Not very smooth with too much bitter kick,Middleton,WI
Samuel Adams Summer Ale,Boston Beer Company (Samuel Adams),Pale Wheat Ale - American,5.3,7,,Boston,MA
Pale Ale,Sierra Nevada Brewing Co.,Pale Ale - American,5.6,38,,Chico,CA
Spotted Cow,New Glarus Brewing Company,Saison / Farmhouse Ale,5.1,0,"Meh.  When this is the best beer at a place, you have to know the food probably won't be good either.  Mediocre beer...",New Glarus,WI
IPA,Lagunitas Brewing Company,IPA - American,6.2,46,Solid,Petaluma,CA
Hop Hunter IPA,Sierra Nevada Brewing Co.,IPA - American,6.2,60,"Really, really hoppy.  Pretty good, but a little bitter.",Chico,CA
Torpedo Extra IPA,Sierra Nevada Brewing Co.,IPA - American,7.2,65,"A little bitter, but pretty good",Chico,CA
Turbodog,Abita Brewing Company,Brown Ale - English,5.6,28,Carmelly and dark tastiness,Abita Springs,LA
Ace Pumpkin Cider,Ace Cider (The California Cider Company),Cider,5,0,,Sebastopol,CA
Public Access IPA,Public Craft Brewing Co.,IPA - Session / India Session Ale,4.8,37,Not too shabby,Kenosha,WI
Sweet Colleen's Irish Red,Public Craft Brewing Co.,Red Ale - Irish,5.3,17,Caramel tasty,Kenosha,WI
Public Access Session IPA,Public Craft Brewing Co.,IPA - Session / India Session Ale,4.7,0,Almost flavorless,Kenosha,WI
Openbaar Saison Farmhouse Ale,Public Craft Brewing Co.,Saison / Farmhouse Ale,5.1,21,Meh. Not a fan of this style.,Kenosha,WI
Public Pale Ale,Public Craft Brewing Co.,Pale Ale - American,5,32,Tastes a lot like Mirror Pond Ale,Kenosha,WI
Perception Porter,Public Craft Brewing Co.,Porter - Other,4.5,20,Pretty solid porter,Kenosha,WI
pseudoSue,Toppling Goliath Brewing,Pale Ale - American,5.8,50,Stellar!,Decorah,IA
Golden Nugget IPA,Toppling Goliath Brewing,IPA - American,6.3,56,Solid IPA,Decorah,IA
Smoove Opferator,Toppling Goliath Brewing,Brown Ale - American,5.5,50,Really strong brown flavor,Decorah,IA
Rover Truck,Toppling Goliath Brewing,Stout - Oatmeal,5.7,35,Wow!  Delicious and smooth,Decorah,IA
Furious,Surly Brewing Company,IPA - American,6.6,100,,Minneapolis,MN
Double M.A.C.,Widmer Brothers Brewing,IPA - Session / India Session Ale,4.8,50,,Portland,OR
Buoy 8 Strong,Astoria Brewing Co.,Strong Ale - English,7.2,0,,Astoria,OR
Brutal India Pale Ale,Rogue Ales & Spirits,IPA - American,6,46,Very smooth,Newport,OR
Hazelnut Brown Nectar,Rogue Ales & Spirits,Brown Ale - American,6.2,33,Near perfection!,Newport,OR
Bengali Tiger,Sixpoint Brewery,IPA - American,6.4,62,,Brooklyn,NY
Castaway IPA,Kona Brewing Company,IPA - American,6,65,,Kailua-Kona,HI
North Coast Red Pacific Ale,Seaside Brewing Company,Red Ale - American Amber / Red,6.98,59,,Seaside,OR
Stormcrow Stout,Seaside Brewing Company,Stout - Other,6.6,38,,Seaside,OR
Fire Rock Pale Ale,Kona Brewing Company,Pale Ale - American,6,35,Caramelly and tasty,Kailua-Kona,HI
Blood Orange IPA,Payette Brewing Co.,IPA - American,6.2,65,Starts with a slight orange flavor and ends with a lot of bitter hops,Garden City,ID
La Chouffe,Brasserie d'Achouffe,Blonde Ale - Belgian Blonde / Golden,8,20,,Achouffe,Luxembourg
Brown Porter,Waltz Brewing,Porter - Other,0,0,Yum!,Forest Grove,OR
Little Bitter,Waltz Brewing,IPA - Session / India Session Ale,3.5,30,"A little too mild, but not bad for 3.5% ABV.",Forest Grove,OR
Blueberry Berliner Weisse,Snipes Mountain Brewing,Fruit Beer,4,5,Not quite as much flavor as I would have liked.  Sour but the flavor just isn't there.,Sunnyside,WA
Weihenstephaner Original,Bayerische Staatsbrauerei Weihenstephan,Lager - Helles,5.1,21,Not bad for a lager,Freising,Bayern
442 Nice Lady Ale,Lompoc Brewing,Pale Ale - American,4.8,0,Solid,Portland,OR
Fish Tale Vicious Circle,Fish Brewing Company,Red Ale - American Amber / Red,5,35,,Olympia,WA
Blackcat Porter,Mac & Jack's Brewing Company,Porter - American,4.8,0,,Redmond,WA
African Amber,Mac & Jack's Brewing Company,Red Ale - American Amber / Red,5.6,0,,Redmond,WA
Pinedrops IPA,Deschutes Brewery,IPA - American,6.5,70,Piney and tasty,Bend,OR
Citrus Mistress IPA,Hop Valley Brewing Company,IPA - American,6.5,80,Love the grapefruit flavors of this one,Eugene,OR
The Immortal IPA,Elysian Brewing,IPA - English,6.3,54,,Seattle,WA
Boont Amber Ale,Anderson Valley Brewing Company,Red Ale - American Amber / Red,5.8,15,"Nice summer beer.  Lacking a little in flavor, but mild and pretty good.",Boonville,CA
Easy Black IPA,10 Barrel Brewing Company,IPA - Black / Cascadian Dark Ale,5.1,65,Session IBA!  Awesome for summer!,Bend,OR
Schonz Red Session Ale,Pyramid Breweries,Red Ale - American Amber / Red,4.8,30,,Seattle,WA
Black Butte Porter,Deschutes Brewery,Porter - American,5.2,30,Still one of my favorites!,Bend,OR
Outburst Imperial IPA,Pyramid Breweries,IPA - Imperial / Double,8.5,80,Lots of flavor on this one.  One strong beer.,Seattle,WA
Grapefruit Shandy,Jacob Leinenkugel Brewing Company,Radler,4.2,14,"Meh.  It's better than the other Leinie shandies, but the ""fruit"" flavor is still too fake for my tastes.",Chippewa Falls,WI
Hop Smack,Cascade Lakes Brewing Company,IPA - American,6.4,82,,Redmond,OR
Conviction Pale Ale,BridgePort Brewing Co.,Pale Ale - American,5.2,40,Thought the flavors were a little off,Portland,OR
Drop Top Amber,Widmer Brothers Brewing,Red Ale - American Amber / Red,5,0,Smooth and slightly nutty,Portland,OR
Gigantic IPA,Gigantic Brewing Company,IPA - American,7.3,85,That's good. That's mighty good.,Portland,OR
Fruit Salad Cider,Rogue Ales & Spirits,Cider,6.4,0,,Newport,OR
Cold Brew IPA,Rogue Ales & Spirits,IPA - American,7.5,82,"What an idea.  The flavors don't quite mesh, but it's pretty good.",Newport,OR
Fresh Roast,Rogue Ales & Spirits,Brown Ale - American,5.7,37,Lots of German style here,Newport,OR
7-Hop Cider,Rogue Ales & Spirits,Cider,6.9,0,Extra tart and a subtle hop flavor,Newport,OR
American Amber Ale,Rogue Ales & Spirits,Red Ale - American Amber / Red,5.3,53,Extra malty but pretty smooth,Newport,OR
Pamplemousse Citrus IPA,Lompoc Brewing,IPA - American,5.8,70,"Good, but not as citrusy as I like.",Portland,OR
Profanity Hill Porter,Schooner Exact Brewing Company,Porter - Other,5.5,33,Excellent flavors,Seattle,WA
Kiwanda Cream Ale,Pelican Brewing Company,Cream Ale,5.4,25,The best cream ale I have had.  Smooth and easy to drink with good flavor.,Pacific City,OR
American Pale Ale,Knuth Brewing Company,Pale Ale - American,6,40,Needs more flavor.  Flattens out when I expected more hoppy taste.,Ripon,WI
Spotted Cow,New Glarus Brewing Company,Saison / Farmhouse Ale,5.1,0,Likely my last Spotted Cow for a very long time.  For some reason it actually tastes pretty good today.,New Glarus,WI
Downtown Brown,Pearl Street Brewery (Wisconsin),Brown Ale - English,5.5,0,Yum!,LaCrosse,WI
Grapefruit Sculpin,Ballast Point Brewing & Spirits,IPA - American,7,70,Still great!,San Diego,CA
Summer Ale,Summit Brewing Company,Kölsch,4.9,32,Decent summer beer,St. Paul,MN
Wild Blue,Anheuser-Busch,Fruit Beer,8,0,,St. Louis,MO
Fresh Bongwater Pale Ale,Kettlehouse Brewing Company,Pale Ale - American,5,0,My first hemp ale.  Not too shabby.,Missoula,MT
River Session IPA,Kettlehouse Brewing Company,IPA - American,4.6,0,Meh.  Sessions are never as good as the real thing.,Missoula,MT
Up 'n Smoke Porter,Kettlehouse Brewing Company,Smoked Beer,5.5,0,Smoked beers are an acquired taste that I do not have.,Missoula,MT
Double Haul IPA,Kettlehouse Brewing Company,IPA - English,6.5,65,Solid English IPA.,Missoula,MT
Orbiter IPA,Ecliptic Brewing,IPA - American,7.4,75,Delicious!,Portland,OR
Capella Porter,Ecliptic Brewing,Porter - Other,5.2,39,Roasty and tasty,Portland,OR
Phobos Single Hop Red Ale,Ecliptic Brewing,Red Ale - American Amber / Red,5.6,34,,Portland,OR
Sagittarius B2N,Ecliptic Brewing,Saison / Farmhouse Ale,7,36,Overwhelming Belgian flavor,Portland,OR
Hypernova Triple IPA,Ecliptic Brewing,IPA - Triple,12,88,Bam!  That's one strong IPA.,Portland,OR
Spica Pilsner,Ecliptic Brewing,Pilsner - Other,5.5,38,Good flavor for a pilsner,Portland,OR
Pilsner,Breakside Brewery,Pilsner - German,5.2,35,Solid summer beer,Portland,OR
Dry Stout,Breakside Brewery,Stout - American,4.1,0,,Portland,OR
Wanderlust IPA,Breakside Brewery,IPA - American,6.7,50,,Portland,OR
India Golden Ale,Breakside Brewery,IPA - Imperial / Double,8.1,80,Just the right amount of fruity hints,Portland,OR
Imperial Red,Breakside Brewery,Red Ale - Imperial / Double,8.1,93,,Portland,OR
ESB,Breakside Brewery,Extra Special / Strong Bitter,6.2,0,,Portland,OR
Helix Hoppy Lager,Ecliptic Brewing,Lager - IPL (India Pale Lager),5.8,55,Best lager out there!,Portland,OR
IPA,Portland Brewing,IPA - American,6.5,70,,Portland,OR
Kilmister's Pub Draught,McMenamins,English Bitter,4.13,36,,Portland,OR
Workhorse IPA,Laurelwood Brewing Co.,IPA - American,7.5,80,Piney and subtley citrusy.  Excellent IPA with good hoppy and malty balance.,Portland,OR
Hopsation,Woodchuck Cidery,Cider,5,0,Refreshing and nice balance with the hops and the apple flavor,Middlebury,VT
Ramblers Amber Ale,Waltz Brewing,Red Ale - American Amber / Red,0,0,Roasty,Forest Grove,OR
VIP Vanilla Infused Porter,Hop Valley Brewing Company,Porter - American,5.9,50,One of the best porters I have had.  Smooth and nice vanilla flavor.,Eugene,OR
1554,New Belgium Brewing Company,Lager - Black,5.6,21,"This beer is excellent anytime.  Great nutty, smooth flavor.  One of my favorite beers.",Fort Collins,CO
Gose the Gozerian,Laurelwood Brewing Co.,Gose,4.5,7,,Portland,OR
Mother Lode Golden Ale,Laurelwood Brewing Co.,Golden Ale,5.1,25,,Portland,OR
Free Range Red,Laurelwood Brewing Co.,Red Ale - American Amber / Red,6.2,60,,Portland,OR
Red Elephant IRA,Laurelwood Brewing Co.,IPA - American,7,70,,Portland,OR
Deranger Imperial Red,Laurelwood Brewing Co.,Red Ale - Imperial / Double,8.6,0,,Portland,OR
Tree Hugger Porter,Laurelwood Brewing Co.,Porter - American,5.8,45,,Portland,OR
Sapporo Premium Lager,Sapporo Breweries,Lager - Japanese Rice,4.7,0,,Shibuya-ku,Tokyo
Creekside Cranberry Perry,Bull Run Cider,Cider,5.5,0,,Forest Grove,OR
Perry Pear Cider,Bull Run Cider,Cider,0,0,,Forest Grove,OR
Twilight Summer Ale,Deschutes Brewery,Pale Ale - American,5,35,Pretty good.  Definitely tastes like a summer ale with a little more hop than most others.,Bend,OR
Black Toad,Trader Joe's (JosephsBrau),Brown Ale - American,5.3,0,"Roasty, caramelly, and pretty smooth.  Extremely dark pour.",San Jose,CA
JosephsBrau Dunkelweizen,Trader Joe's (JosephsBrau),Dunkelweizen,5.2,18,,San Jose,CA
Oktoberfest - Brauhaus Riegele (2015),Sierra Nevada Brewing Co.,Märzen,6,30,First one of the season.  Not too shabby.,Chico,CA
Inversion IPA,Deschutes Brewery,IPA - American,6.8,80,,Bend,OR
Armored Fist CDA,Boneyard Beer Company,IPA - Imperial / Double Black,10,80,Citrusy black deliciousness,Bend,OR
Becky's Black Cat,Seven Brides Brewing,Porter - Other,7,0,,Silverton,OR
Stone IPA,Stone Brewing,IPA - American,6.9,77,One of the best IPAs out there!,Escondido,CA
Asahi Super Dry,Asahi Breweries,Lager - Japanese Rice,5,16,Tasty with delicious sushi,Sumida-ku,Tokyo
Fish Tale Vicious Circle,Fish Brewing Company,Red Ale - American Amber / Red,5,35,,Olympia,WA
Apricot Ale,Pyramid Breweries,Fruit Beer,5.1,11,Tasty as always,Seattle,WA
Fuzzy Haven,Fox-Tail Cider,Cider,6.2,0,"Decent cider, but lacks peach flavor",Hood River,OR
Holy Water(melon),Reverend Nat's Hard Cider,Cider,4.3,0,Unique. Cucumber start and watermelon finish.,Portland,OR
Strawberry Blonde,Astoria Brewing Co.,Fruit Beer,6.1,10,Really lacking strawberry flavor,Astoria,OR
Punkin Ale,Dogfish Head Craft Brewery,Pumpkin / Yam Beer,7,28,Tis the season,Milton,DE
Damon Stoutamire,Ex Novo Brewing,Stout - American,6.5,57,"Wow, that is a strong stout!",Portland,OR
Wookey Jack,Firestone Walker Brewing Company,IPA - Black / Cascadian Dark Ale,8.3,80,Excellent black IPA,Paso Robles,CA
Fruit of the Garden of Good & Evil,Burnside Brewing Co. (Oregon),Fruit Beer,4.5,0,"Good, but a little too spicy on the end for my tastes",Portland,OR
Toasted Coconut Chocolate Porter,Caldera Brewing Company,Porter - American,6.2,24,Yum!  Great flavor and smooth,Ashland,OR
Stone Coffee Milk Stout,Stone Brewing,Stout - Milk / Sweet,5,40,,Escondido,CA
Chocolate Stout,Rogue Ales & Spirits,Stout - American,5.8,69,,Newport,OR
Arctic Blast Vanilla Porter,Vertigo Brewing,Porter - American,5.8,0,Tasty!,Hillsboro,OR
"20"" Brown ",Cascade Lakes Brewing Company,Brown Ale - American,5.3,35,,Redmond,OR
CoCoNut PorTeR,Maui Brewing Company,Porter - American,6,30,One of my favorites,"Lahaina, Maui",HI
Strawberry Fields,Bull Run Cider,Cider,6.5,0,Summer seasonal.  Delicious!!!,Forest Grove,OR
Anthem Cherry,Wandering Aengus Ciderworks,Cider,6.2,0,,Salem,OR
Gigantic IPA,Gigantic Brewing Company,IPA - American,7.3,85,,Portland,OR
1811 Lager,Fort George Brewery,Lager - North American Adjunct,5.1,0,Hoppy for a lager.  Not too bad.,Astoria,OR
Quick Wit,Fort George Brewery,Witbier,5.5,0,Good for a Belgian.  Not my style though.,Astoria,OR
Sunrise Oatmeal Pale Ale,Fort George Brewery,Pale Ale - American,5.2,0,Interesting oaty flavors mixed with hoppiness,Astoria,OR
The Optimist,Fort George Brewery,IPA - American,6.2,50,"Big time hoppy flavors, but not too bitter",Astoria,OR
Vortex IPA,Fort George Brewery,IPA - American,7.7,97,I can see why it's their flagship.  Great flavors!,Astoria,OR
Working Girl Porter,Fort George Brewery,Porter - American,4.6,30,Strong flavors.  Almost more like a stout.  Still tasty though.,Astoria,OR
Cavatica Stout,Fort George Brewery,Stout - American,8.8,0,A little too bitter for my tastes,Astoria,OR
North VII,Fort George Brewery,IPA - Belgian,9,0,"If I liked Belgians, I would like this.",Astoria,OR
3-Way IPA (2015),Fort George Brewery,IPA - American,5.7,70,,Astoria,OR
Plaid Scotch Ale,Fort George Brewery,Scotch Ale / Wee Heavy,7,0,"The best scotch ale I have ever had, still strange though.",Astoria,OR
The Road To Rye,Fort George Brewery,Rye Beer / Rye IPA,6,0,Missing a little flavor compared to their other IPAs but decent for a RyePA.,Astoria,OR
"Anni, Are You Oak-Aged?",Fort George Brewery,Scotch Ale / Wee Heavy,9.7,0,Meh.  All I taste is whiskey.,Astoria,OR
Squashed Stout,Fort George Brewery,Stout - Other,6.7,0,Interesting squash flavor.  Tastes more like a porter than a stout.,Astoria,OR
Eruption Imperial Red,Worthy Brewing,Red Ale - Imperial / Double,8,100,"Wow, that's an excellent red!",Bend,OR
Kick Axe Pale Ale,Lompoc Brewing,Pale Ale - American,5.2,40,,Portland,OR
Stout,Cerveza Ave Negra,Dark Ale,5,0,Excellent dark ale from Argentina!,,
Harvest Patch Shandy,Jacob Leinenkugel Brewing Company,Pumpkin / Yam Beer,4.2,11,Why do I continue to try these Leinie shandies...? Always mediocre.,Chippewa Falls,WI
Loser Pale Ale,Elysian Brewing,Pale Ale - American,7,50,A little too malty for me,Seattle,WA
Summer Honey,Angry Orchard Cider Company,Cider,5,0,Good lingering honey flavor,Cincinnati,OH
Seasonal Release Oktoberfest,Ninkasi Brewing Company,Märzen,5.9,25,First o-fest of the year and it's mighty tasty!,Eugene,OR
Rauchbier,Cerveza Artesanal Reina Serrana,Rauchbier,4.5,0,By far the worst beer I have ever tried.  Smoked beers are gross.,Sierra de La Ventana,Buenos Aires
Night Owl Pumpkin Ale,Elysian Brewing,Pumpkin / Yam Beer,5.9,0,The best pumpkin ale I have had (non-Porter),Seattle,WA
Pumpkin Wheat,Shock Top Brewing Co.,Pumpkin / Yam Beer,5.1,0,Very little flavor,St Louis,MO
Quilter's Irish Death,Iron Horse Brewery,Strong Ale - American,7.8,0,Tasty dark ale!,Ellensburg,WA
Pumpkin Ale,Laurelwood Brewing Co.,Pumpkin / Yam Beer,7.5,25,Good flavors and nice pumpkin flavor,Portland,OR
Hop Stout (Hop Kitchen #10),New Belgium Brewing Company,Stout - Imperial / Double,8,100,Tasty dark IPA/stout hybrid,Fort Collins,CO
GravensTime,Lagunitas Brewing Company,Fruit Beer,5.8,0,Cider/IPA hybrid.  Good stuff.,Petaluma,CA
Vlad The Imp Aler,Cascade Brewing Company (USA),American Wild Ale,10.3,0,,Portland,OR
Apricot Ale (2014),Cascade Brewing Company (USA),Sour Ale,7.6,0,Yum!,Portland,OR
Cranberry (2014),Cascade Brewing Company (USA),Sour Ale,8.2,0,,Portland,OR
Blueberry,Cascade Brewing Company (USA),American Wild Ale,7.33,0,,Portland,OR
Blackcap Raspberry (2015),Cascade Brewing Company (USA),American Wild Ale,7.56,0,,Portland,OR
Black Bear XX,Alameda Brewing Co.,Stout - Foreign / Export,7,0,,Portland,OR
Evil Twin,Heretic Brewing Company,Red Ale - Imperial / Double,6.8,45,"A little flat, but good reddish flavors.",Fairfield,CA
Wholesome Apple,Swift Cider,Cider,6,0,"Nice, crisp apple.  Not too sweet.",Portland,OR
Evil Harvest,Crooked Fence Brewing,Pumpkin / Yam Beer,6,0,Meh.  It's OK.  Not much pumpkin flavor.,Garden City,ID
Original Amber Ale,Oakshire Brewing,Red Ale - American Amber / Red,5.4,24,Decent,Eugene,OR
Opal S.A.S.H. Cider,Cider Riot,Cider,6.9,0,Strange flavor,Portland,OR
Strawberry Fields,Bull Run Cider,Cider,6.5,0,One of best ciders I've had!,Forest Grove,OR
Pomegranate Cider,Two Rivers Cider Company,Cider,6.5,0,Awesome color and pom flavor,Sacramento,CA
Tart Apple,Bull Run Cider,Cider,0,0,It's just a tester.  Decent but not spectacular.,Forest Grove,OR
Pinup Porter,Southern Oregon Brewing (SOB),Porter - Other,5.5,30,"Decent flavor, but it is really lacking on carbonation",Medford,OR
Nukin' Futz,Track 7 Brewing Company,Porter - American,7.3,0,Peanut butter roasty delicious,Sacramento,CA
1763 West Country,Cider Riot,Cider,6.9,0,Gross,Portland,OR
Salted Caramel Brownie Brown Ale,New Belgium Brewing Company,Brown Ale - American,6.3,14,Not too sweet.  Great brown ale.,Fort Collins,CO
Vinter Varmer,Laurelwood Brewing Co.,Winter Ale,6.4,49,"Good, but it's missing some roasty flavor",Portland,OR
Paddle Board Porter,Cascade Lakes Brewing Company,Porter - American,5.4,34,Tasty nutty flavors.  A little rich at the end but still a good porter.,Redmond,OR
Organic Porter,Eel River Brewing Co.,Porter - American,5.8,19,"Solid.  Nothing special, but a good porter.",Fortuna,CA
Overcast Espresso Stout,Oakshire Brewing,Stout - Other,5.8,37,Wow.  That is an incredible coffee stout!,Eugene,OR
Breakfast Porter,Terminal Gravity Brewing (TG),Porter - American,5.7,40,Interesting hoppy and roasty flavors,Enterprise,OR
Cinnamon Horchata Ale,Blue Moon Brewing Company,Herbed / Spiced Beer,5.5,25,"Excellent cinnamon flavors.  Not much rice milk flavor, but that might be a good sign for a beer.",Denver,CO
Chai Spiced Ale,Blue Moon Brewing Company,Herbed / Spiced Beer,5.4,0,A little too heavy on the spices,Denver,CO
White IPA,Blue Moon Brewing Company,IPA - White,5.9,45,"Nothing special, but not too shabby",Denver,CO
IRA,Double Mountain Brewery & Taproom,IPA - American,6.5,65,Pretty good.  Needs a little more red/malty flavor.,Hood River,OR
S'more Stout,Base Camp Brewing Company,Stout - American,7.7,70,,Portland,OR
New Wave Amber,Base Camp Brewing Company,Lager - American Amber / Red,5.6,20,,Portland,OR
